k_folds,norm,average test loss,average train loss:,,test loss,test loss,test loss,test loss,test loss,test loss,test loss,test loss,test loss,test loss,test loss,test loss,test loss,test loss,test loss,test loss,test loss,test loss,test loss,test loss,test loss,,average test loss,,train loss,train loss,train loss,train loss,train loss,train loss,train loss,train loss,train loss,train loss,train loss,train loss,train loss,train loss,train loss,train loss,train loss,train loss,train loss,train loss,train loss,,average train loss:
16,z_score,10.0952381,43.14285714,,10,11,10,8,8,12,11,11,11,10,11,11,11,11,8,9,11,7,12,9,10,,10.0952381,,40,46,37,47,49,40,40,41,41,42,38,41,59,48,42,46,42,42,46,38,41,,43.14285714
16,none,15.61904762,63.14285714,,19,6,12,22,21,23,17,6,13,21,6,18,22,21,12,18,24,17,4,15,11,,15.61904762,,70,36,53,75,79,85,79,43,63,78,34,71,81,69,41,74,89,60,43,61,42,,63.14285714
17,min_max,15.66666667,67.95238095,,13,16,16,17,13,19,16,19,18,11,16,16,17,14,18,14,19,13,18,12,14,,15.66666667,,58,69,64,74,56,77,70,69,78,58,62,72,72,61,85,62,76,60,82,55,67,,67.95238095
17,z_score,9.285714286,43.76190476,,11,9,7,9,9,10,9,10,8,10,9,11,8,10,9,8,9,10,10,10,9,,9.285714286,,40,51,50,44,43,41,42,45,49,38,44,45,45,40,40,47,42,46,43,39,45,,43.76190476
17,none,14,59.0952381,,12,11,22,12,12,13,12,11,10,16,16,10,16,12,9,22,11,17,10,22,18,,14,,48,54,81,55,48,54,53,54,51,67,61,41,75,50,59,65,47,81,40,81,76,,59.0952381
18,min_max,15,70.28571429,,17,13,12,13,10,20,18,14,18,18,17,13,12,17,17,13,17,14,17,11,14,,15,,72,59,64,71,56,78,86,71,77,86,86,61,66,64,77,59,72,62,77,67,65,,70.28571429
18,z_score,9.761904762,43.61904762,,8,10,9,10,11,10,11,9,10,8,10,10,10,8,10,9,9,11,9,12,11,,9.761904762,,52,56,42,42,39,44,40,44,40,48,41,43,55,43,39,44,42,42,42,41,37,,43.61904762
18,none,14.71428571,59.57142857,,13,10,8,13,23,17,22,10,5,22,20,21,12,7,21,19,19,13,18,12,4,,14.71428571,,55,51,34,52,82,70,78,49,45,81,76,73,47,42,77,57,69,55,73,45,40,,59.57142857
19,min_max,15.38095238,69.14285714,,16,12,14,17,17,15,16,15,17,18,12,17,11,15,14,16,15,18,18,17,13,,15.38095238,,72,56,58,81,78,69,69,70,72,83,59,86,53,69,59,59,72,73,74,86,54,,69.14285714
19,z_score,9.857142857,43.23809524,,11,11,9,10,12,8,10,10,10,9,10,8,11,9,11,9,9,11,9,10,10,,9.857142857,,42,40,44,42,45,45,41,42,45,44,42,46,49,40,46,43,44,45,41,42,40,,43.23809524
19,none,14.52380952,58.80952381,,20,22,12,12,7,10,10,20,16,21,10,12,22,22,15,14,11,11,10,9,19,,14.52380952,,72,81,46,42,44,51,38,72,67,77,44,50,81,74,74,59,46,37,54,56,70,,58.80952381
20,min_max,14,64.9047619,,10,12,17,12,10,13,13,13,11,18,17,14,16,15,17,14,16,16,16,12,12,,14,,50,61,67,62,51,64,61,62,55,74,77,57,70,57,74,57,84,83,70,68,59,,64.9047619
20,z_score,10.61904762,40.95238095,,9,9,11,12,11,11,11,11,10,10,11,9,11,11,11,9,12,11,11,10,12,,10.61904762,,39,39,42,43,38,41,50,49,40,39,38,42,38,39,43,41,40,37,38,41,43,,40.95238095
20,none,15.38095238,62.19047619,,12,5,12,10,23,21,11,16,22,6,20,16,22,19,21,15,16,20,11,21,4,,15.38095238,,60,44,50,45,81,78,38,77,76,41,73,62,80,73,79,46,66,72,47,78,40,,62.19047619
21,min_max,16.1,70.25,,16,18,19,12,17,13,13,18,17,12,18,16,19,17,18,16,,14,17,17,15,,16.1,,71,76,71,59,78,52,57,85,74,60,73,72,77,84,72,58,,57,75,84,70,,70.25
21,z_score,10,42.7,,8,10,10,11,10,8,10,11,12,11,9,11,11,8,10,9,,10,11,10,10,,10,,51,40,41,40,37,43,45,40,43,39,46,41,39,51,39,44,,46,41,47,41,,42.7
21,none,16.25,63.7,,21,7,21,21,11,16,13,7,7,20,22,12,23,21,12,15,,23,9,22,22,,16.25,,79,40,78,74,44,65,56,49,46,73,80,50,83,69,40,64,,79,47,79,79,,63.7
22,min_max,15.2,70.75,,12,18,13,13,13,12,17,17,17,17,17,16,16,17,16,14,,17,13,15,14,,15.2,,60,81,59,55,55,51,77,75,73,84,84,83,83,75,83,59,,74,62,70,72,,70.75
22,z_score,10.1,43.2,,9,11,11,11,8,11,10,11,11,10,8,11,9,10,10,10,,9,10,11,11,,10.1,,42,40,40,40,49,47,44,43,40,54,45,39,47,39,40,42,,40,50,40,43,,43.2
22,none,16.8,65.2,,22,10,13,11,8,22,22,11,15,20,22,22,12,12,21,21,,18,18,15,21,,16.8,,81,42,40,62,62,81,81,43,65,64,79,79,43,55,77,80,,60,68,74,68,,65.2
23,min_max,14.9,68.6,,19,17,17,17,17,17,14,16,17,13,10,11,13,15,14,17,,14,14,10,16,,14.9,,75,73,74,75,75,78,71,71,84,63,54,67,53,71,61,84,,57,61,57,68,,68.6
23,z_score,9.35,42.6,,8,10,7,11,10,9,9,11,9,10,11,11,8,9,9,8,,10,9,9,9,,9.35,,41,41,43,42,41,40,42,48,44,41,38,43,40,50,38,44,,49,42,44,41,,42.6
23,none,13.8,56.4,,7,6,21,11,20,17,14,12,22,22,9,11,11,9,22,12,,18,11,11,10,,13.8,,44,42,78,48,73,65,60,52,79,81,40,47,62,42,80,45,,60,45,48,37,,56.4
24,min_max,14.3,65.55,,13,14,14,17,15,14,17,14,13,11,16,12,17,12,12,18,,16,13,17,11,,14.3,,49,61,60,73,74,54,78,58,63,65,77,55,75,68,61,75,,69,64,73,59,,65.55
24,z_score,9.85,41.55,,10,11,10,11,9,9,11,9,11,9,10,10,8,10,11,11,,8,10,9,10,,9.85,,40,43,40,43,40,43,41,41,41,43,40,40,42,39,43,42,,41,45,43,41,,41.55
24,none,15.05,60.35,,16,21,21,16,21,10,23,14,10,22,8,14,12,10,19,12,,16,6,11,19,,15.05,,71,78,62,64,79,47,81,63,42,80,42,67,42,50,72,53,,63,36,49,66,,60.35
25,min_max,16.2,72.9,,16,17,17,16,17,17,17,18,13,17,16,15,16,17,16,18,,17,14,17,13,,16.2,,69,71,74,71,72,79,84,85,64,73,77,75,66,84,59,83,,75,65,78,54,,72.9
25,z_score,9.8,41,,8,8,9,9,9,10,11,11,10,11,11,11,8,8,11,9,,11,10,11,10,,9.8,,40,42,44,41,42,39,45,39,40,39,42,38,55,40,38,41,,39,39,40,37,,41
25,none,14.8,62.8,,15,16,19,11,21,19,20,7,19,10,15,10,14,18,28,12,,11,5,5,21,,14.8,,63,60,67,53,78,75,73,46,73,40,67,46,60,77,111,53,,44,51,41,78,,62.8
26,min_max,14.45,68.25,,13,10,11,18,13,12,17,17,17,14,15,14,14,19,18,15,,11,14,14,13,,14.45,,58,53,66,66,66,56,77,85,78,57,69,71,67,75,82,77,,67,69,59,67,,68.25
26,z_score,10.1,42.5,,9,9,9,12,11,9,10,11,8,11,10,12,12,9,12,8,,9,11,11,9,,10.1,,46,44,40,43,39,46,39,43,49,39,41,39,38,44,40,44,,47,51,38,40,,42.5
26,none,12.25,56.45,,22,16,17,11,4,9,6,11,10,21,10,12,22,7,18,10,,12,7,7,13,,12.25,,78,71,70,53,40,44,43,48,42,77,41,54,81,45,79,43,,64,52,41,63,,56.45
27,min_max,14.65,65.95,,11,15,13,13,14,18,19,17,12,17,17,12,17,10,16,13,,17,16,13,13,,14.65,,55,68,62,62,59,77,66,77,65,78,77,59,78,52,68,57,,75,71,55,58,,65.95
27,z_score,9.65,43.85,,10,9,10,11,9,11,9,10,8,10,10,9,9,10,10,9,,10,9,10,10,,9.65,,40,47,49,39,47,46,45,44,48,52,44,45,42,42,41,41,,38,49,42,36,,43.85
27,none,15.05,62.45,,16,9,13,19,16,10,8,19,22,15,21,16,11,8,17,21,,15,10,13,22,,15.05,,62,35,62,72,72,46,52,76,80,62,77,56,38,47,70,77,,72,53,62,78,,62.45
28,min_max,14.65,67.15,,12,15,10,17,18,15,16,17,15,17,18,12,13,14,13,13,,14,17,14,13,,14.65,,64,69,57,75,78,69,63,83,72,84,74,60,56,56,55,65,,66,72,68,57,,67.15
28,z_score,9.75,41.4,,9,11,10,8,10,12,11,9,11,10,9,9,8,10,9,11,,11,9,9,9,,9.75,,39,45,41,44,37,40,37,46,39,41,37,41,48,40,41,46,,39,40,45,42,,41.4
28,none,11.85,53.45,,11,12,18,12,11,9,10,11,10,22,14,15,21,7,11,9,,7,12,6,9,,11.85,,55,48,75,60,43,43,46,48,51,81,71,67,77,40,50,42,,43,53,35,41,,53.45
29,min_max,14.35,67.75,,18,12,14,10,12,18,12,8,14,17,17,11,14,17,14,18,,15,17,13,16,,14.35,,80,60,58,54,60,77,63,52,58,73,75,66,67,81,70,83,,71,77,57,73,,67.75
29,z_score,9.55,41.3,,8,10,9,10,10,9,8,9,10,10,10,9,9,9,11,9,,11,9,10,11,,9.55,,41,39,41,42,41,41,48,42,41,41,43,40,41,45,40,41,,39,41,38,41,,41.3
29,none,11.85,53.7,,6,21,14,10,14,7,7,15,11,22,12,9,21,10,5,6,,7,14,10,16,,11.85,,39,73,60,45,66,40,40,68,38,80,58,42,67,46,53,37,,40,66,39,77,,53.7
30,min_max,15.45,70.2,,17,18,17,13,17,12,17,17,14,14,17,13,19,13,15,17,,13,15,18,13,,15.45,,73,76,77,59,78,67,77,77,67,68,82,58,75,56,68,73,,57,68,81,67,,70.2
30,z_score,10.05,42.5,,11,9,8,10,11,11,8,9,10,9,10,10,11,11,11,10,,11,11,10,10,,10.05,,42,40,49,40,39,42,45,40,43,44,47,44,46,39,39,37,,43,46,43,42,,42.5
30,none,12.95,58.35,,21,12,10,12,20,11,14,22,16,7,7,9,7,22,12,12,,6,14,10,15,,12.95,,76,57,46,57,77,49,62,78,71,53,48,46,48,78,68,45,,36,68,37,67,,58.35
31,min_max,14.9,70.3,,17,12,17,17,14,12,19,13,12,16,16,14,10,17,18,16,,12,14,17,15,,14.9,,76,64,77,74,70,61,74,66,61,83,71,68,53,72,81,75,,68,70,73,69,,70.3
