k_folds,norm,train loss,test loss,,,,,,,train loss,test loss,,,,,,,train loss,test loss,,,,,,,train loss,test loss,,,,,,,train loss,test loss,train loss,test loss,train loss,test loss,train loss,test loss,train loss,test loss
44,none,56,12,74,21,56,10,44,5,68,20,40,7,75,21,78,21,50,12,66,17,46,9,37,6,38,8,46,7,81,22,45,6,,,42,11,53,12,78,21,66,15
45,min_max,81,18,69,17,70,14,61,12,79,18,57,13,73,17,60,13,59,14,71,17,67,13,65,12,70,14,58,13,84,17,58,12,,,67,14,57,13,72,16,84,17
45,z_score,41,11,40,11,42,10,41,11,45,9,42,10,37,11,40,9,38,10,42,9,39,10,39,10,44,7,39,10,40,11,40,10,,,39,9,38,10,41,11,47,8
45,none,58,15,73,21,53,10,35,8,53,13,66,13,45,10,54,11,63,8,35,8,48,12,63,20,41,11,55,12,56,12,54,5,,,60,14,49,12,77,20,44,11
46,min_max,78,17,69,15,65,14,60,13,78,17,84,18,67,11,73,17,70,17,75,17,73,17,63,13,52,11,63,13,81,18,67,12,,,78,18,65,14,51,13,69,16
46,z_score,38,10,38,10,41,10,40,11,40,10,46,9,37,11,45,9,42,8,38,10,40,11,43,9,39,11,39,9,41,10,39,10,,,37,10,37,9,39,11,41,10
46,none,57,12,38,10,77,18,54,12,47,7,64,15,48,10,78,21,79,20,37,5,74,19,54,11,43,6,73,18,47,11,52,12,,,49,9,49,11,78,21,44,7
47,min_max,57,13,76,18,86,18,74,17,54,12,70,16,71,16,83,18,74,16,72,17,67,13,60,14,58,13,79,17,73,17,67,14,,,76,18,84,17,75,17,53,12
47,z_score,42,9,40,8,38,12,40,11,41,9,44,9,39,9,40,9,42,9,41,9,47,8,43,9,40,10,38,11,42,10,39,10,,,39,9,41,9,43,11,39,11
47,none,36,9,49,12,64,16,48,13,50,7,73,20,39,12,74,22,67,16,43,4,39,4,69,16,36,9,61,14,54,11,41,7,,,72,17,53,11,78,23,50,12
48,min_max,76,17,59,14,65,13,57,13,79,17,68,15,74,17,56,12,66,14,62,14,57,12,71,16,77,17,78,18,86,18,62,13,,,70,16,64,12,71,17,78,17
48,z_score,44,9,42,8,45,9,39,11,42,7,38,11,41,10,41,9,41,10,37,10,39,9,39,9,42,10,45,8,45,10,42,9,,,39,10,39,10,40,11,42,9
48,none,71,15,47,6,39,13,45,5,80,22,55,13,46,11,71,19,56,11,43,9,63,13,63,14,52,12,41,12,78,21,40,9,,,64,18,44,10,41,10,68,16
49,min_max,75,17,78,17,61,13,73,15,74,17,56,13,77,17,63,14,71,17,58,12,68,14,58,13,63,13,74,18,73,17,67,12,,,74,18,58,13,59,13,75,16
49,z_score,40,8,41,11,40,10,41,9,44,9,40,10,41,11,40,11,39,10,39,9,39,11,44,11,44,7,47,9,40,9,41,9,,,42,11,41,11,39,10,40,11
49,none,53,11,71,20,43,5,41,11,48,10,47,11,45,10,43,12,41,11,62,14,49,12,46,12,81,23,47,8,46,8,55,11,,,43,7,51,12,40,7,40,11
50,min_max,61,13,70,14,61,13,68,11,75,17,74,17,72,16,54,13,84,18,72,17,69,14,84,17,84,18,73,18,83,17,58,13,,,69,15,65,14,66,14,73,16
50,z_score,39,10,39,9,39,10,38,11,38,11,44,9,38,10,41,11,39,11,39,10,40,12,40,9,39,11,40,10,40,11,40,9,,,44,9,39,10,40,9,45,9
50,none,48,13,39,9,61,13,46,12,43,9,42,10,46,7,48,12,42,7,45,9,38,9,69,18,76,20,67,16,49,11,45,5,,,41,8,42,4,45,6,49,11
