k_folds,norm,eta,lambda,train loss,test loss
4,min_max,0.2,0.9,161,39
4,min_max,0.2,1.0,157,43
4,min_max,0.3,0.1,79,21
4,min_max,0.3,0.2,79,21
4,min_max,0.3,0.3,79,21
4,min_max,0.3,0.4,79,21
4,min_max,0.3,0.5,80,23
4,min_max,0.3,0.6,81,22
4,min_max,0.3,0.7,81,22
4,min_max,0.3,0.8,157,43
4,min_max,0.3,0.9,157,43
4,min_max,0.3,1.0,161,39
4,min_max,0.4,0.1,79,21
4,min_max,0.4,0.2,133,39
4,min_max,0.4,0.3,112,25
4,min_max,0.4,0.4,79,21
4,min_max,0.4,0.5,114,33
4,min_max,0.4,0.6,157,43
4,min_max,0.4,0.7,79,21
4,min_max,0.4,0.8,157,43
4,min_max,0.4,0.9,84,18
4,min_max,0.4,1.0,161,39
4,min_max,0.5,0.1,84,17
4,min_max,0.5,0.2,124,30
4,min_max,0.5,0.3,160,39
4,min_max,0.5,0.4,161,39
4,min_max,0.5,0.5,157,43
4,min_max,0.5,0.6,79,22
4,min_max,0.5,0.7,157,43
4,min_max,0.5,0.8,157,43
4,min_max,0.5,0.9,151,42
4,min_max,0.5,1.0,156,38
4,min_max,0.6,0.1,57,13
4,min_max,0.6,0.2,112,25
4,min_max,0.6,0.3,161,39
4,min_max,0.6,0.4,160,37
4,min_max,0.6,0.5,157,43
4,min_max,0.6,0.6,86,17
4,min_max,0.6,0.7,137,41
4,min_max,0.6,0.8,161,38
4,min_max,0.6,0.9,157,43
4,min_max,0.6,1.0,157,43
4,min_max,0.7,0.1,136,39
4,min_max,0.7,0.2,80,21
4,min_max,0.7,0.3,157,43
4,min_max,0.7,0.4,88,21
4,min_max,0.7,0.5,79,21
4,min_max,0.7,0.6,110,32
4,min_max,0.7,0.7,157,43
4,min_max,0.7,0.8,80,22
4,min_max,0.7,0.9,157,43
4,min_max,0.7,1.0,160,41
4,min_max,0.8,0.1,161,39
4,min_max,0.8,0.2,160,39
4,min_max,0.8,0.3,157,43
4,min_max,0.8,0.4,161,38
4,min_max,0.8,0.5,162,38
4,min_max,0.8,0.6,153,35
4,min_max,0.8,0.7,161,39
4,min_max,0.8,0.8,121,31
4,min_max,0.8,0.9,161,39
4,min_max,0.8,1.0,162,38
4,min_max,0.9,0.1,157,43
4,min_max,0.9,0.2,157,43
4,min_max,0.9,0.3,161,39
4,min_max,0.9,0.4,157,43
4,min_max,0.9,0.5,161,39
4,min_max,0.9,0.6,157,43
4,min_max,0.9,0.7,157,43
4,min_max,0.9,0.8,161,39
4,min_max,0.9,0.9,154,36
4,min_max,0.9,1.0,157,43
4,min_max,1.0,0.1,79,23
4,min_max,1.0,0.2,154,43
4,min_max,1.0,0.3,157,43
4,min_max,1.0,0.4,122,31
4,min_max,1.0,0.5,161,39
4,min_max,1.0,0.6,115,35
4,min_max,1.0,0.7,157,43
4,min_max,1.0,0.8,162,38
4,min_max,1.0,0.9,162,38
4,min_max,1.0,1.0,162,38
4,z_score,0.1,0.1,27,6
4,z_score,0.1,0.2,46,13
4,z_score,0.1,0.3,47,8
4,z_score,0.1,0.4,48,10
4,z_score,0.1,0.5,52,10
4,z_score,0.1,0.6,66,14
4,z_score,0.1,0.7,61,16
4,z_score,0.1,0.8,49,13
4,z_score,0.1,0.9,45,8
4,z_score,0.1,1.0,74,18
4,z_score,0.2,0.1,32,10
4,z_score,0.2,0.2,43,9
4,z_score,0.2,0.3,44,11
4,z_score,0.2,0.4,78,16
4,z_score,0.2,0.5,60,16
4,z_score,0.2,0.6,66,15
4,z_score,0.2,0.7,52,12
4,z_score,0.2,0.8,51,13
4,z_score,0.2,0.9,46,12
