k_folds,norm,eta,train loss,test loss,train loss,test loss,train loss,test loss,train loss,test loss
2,none,0.28,93,24,161,39,104,30,161,37
2,none,0.29,81,22,162,38,157,43,80,22
2,none,0.3,129,32,151,36,161,39,162,38
2,none,0.31,73,22,85,26,157,43,84,23
2,none,0.32,161,39,74,22,99,28,153,37
2,none,0.33,84,23,110,31,129,31,121,30
2,none,0.34,157,43,80,22,79,22,79,22
2,none,0.35,156,43,161,39,139,34,131,32
2,none,0.36,80,22,162,38,156,43,95,25
2,none,0.37,161,39,131,32,156,43,80,22
2,none,0.38,109,30,106,29,79,22,112,27
2,none,0.39,134,33,106,29,79,22,107,26
2,none,0.4,82,23,113,28,94,25,81,23
2,none,0.41,75,22,162,38,79,22,129,31
2,none,0.42,78,19,80,22,147,36,156,36
2,none,0.43,135,33,161,39,155,43,152,40
2,none,0.44,101,24,162,38,127,30,85,16
2,none,0.45,116,33,79,22,101,23,79,22
2,none,0.46,86,23,82,26,107,26,161,39
2,none,0.47,86,19,87,24,119,31,97,18
2,none,0.48,156,38,139,33,69,21,94,26
2,none,0.49,162,38,104,26,153,34,89,26
2,none,0.5,162,38,160,38,140,38,79,22
2,none,0.51,157,43,116,35,161,38,96,26
2,none,0.52,157,36,128,31,161,38,114,31
2,none,0.53,79,22,149,39,81,23,79,22
2,none,0.54,97,18,157,36,151,40,110,31
2,none,0.55,162,38,157,43,157,43,160,38
2,none,0.56,101,26,81,22,84,24,70,21
2,none,0.57,66,11,79,22,77,25,153,36
2,none,0.58,79,22,161,39,157,43,157,43
2,none,0.59,79,22,80,22,85,26,161,39
2,none,0.6,91,24,151,40,145,38,161,39
2,none,0.61,105,25,79,22,131,33,79,22
2,none,0.62,73,24,161,39,157,37,161,39
2,none,0.63,86,23,161,39,56,20,142,33
2,none,0.64,131,32,91,28,81,23,75,26
2,none,0.65,83,24,107,29,88,24,161,39
2,none,0.66,129,37,79,22,80,22,81,22
2,none,0.67,80,22,155,36,70,11,156,43
2,none,0.68,80,22,127,30,161,39,162,38
2,none,0.69,78,22,157,43,84,24,110,30
2,none,0.7,157,36,161,39,162,38,156,36
2,none,0.71,60,22,89,22,81,22,129,32
2,none,0.72,154,43,162,38,84,25,135,38
2,none,0.73,85,19,161,39,68,20,80,22
2,none,0.74,161,39,142,38,65,15,145,36
2,none,0.75,125,31,139,39,82,23,81,23
2,none,0.76,79,22,157,43,161,39,79,22
2,none,0.77,79,22,143,40,79,22,138,39
2,none,0.78,161,39,131,37,82,25,79,22
2,none,0.79,84,25,138,32,111,30,157,43
2,none,0.8,84,23,78,21,100,29,66,20
2,none,0.81,95,25,150,36,134,33,147,36
2,none,0.82,145,39,131,35,93,25,93,24
2,none,0.83,106,32,78,16,68,21,82,23
2,none,0.84,85,23,99,28,123,31,79,22
2,none,0.85,79,22,83,24,81,26,161,39
2,none,0.86,90,24,152,36,89,23,160,39
2,none,0.87,145,33,153,37,81,23,84,23
2,none,0.88,146,36,162,38,84,23,133,35
2,none,0.89,79,22,120,31,85,18,161,39
2,none,0.9,85,23,127,31,91,24,106,29
2,none,0.91,162,38,87,24,114,29,111,26
2,none,0.92,161,39,92,24,155,37,79,22
2,none,0.93,79,22,128,31,130,32,143,40
2,none,0.94,81,23,153,42,81,25,157,43
2,none,0.95,147,36,79,23,79,22,162,38
2,none,0.96,77,21,96,25,82,25,129,37
2,none,0.97,80,23,115,27,130,30,64,22
2,none,0.98,86,24,78,16,162,38,81,22
2,none,0.99,108,29,161,38,131,37,161,39
2,none,1,132,32,161,38,127,31,156,43
3,min_max,0.01,18,2,23,3,10,4,9,4
3,min_max,0.02,9,4,12,4,11,4,13,2
3,min_max,0.03,7,4,10,4,11,5,12,6
3,min_max,0.04,19,2,8,4,12,5,14,2
3,min_max,0.05,22,2,17,2,9,3,6,4
3,min_max,0.06,9,3,7,4,9,4,9,5
3,min_max,0.07,15,2,8,4,10,3,17,2
3,min_max,0.08,11,5,9,4,11,4,8,4
3,min_max,0.09,12,2,8,4,12,5,12,5
3,min_max,0.1,11,2,6,4,18,2,9,4
3,min_max,0.11,10,4,10,4,9,4,10,2
3,min_max,0.12,8,4,11,5,10,4,12,5
3,min_max,0.13,10,4,20,2,7,4,10,2
3,min_max,0.14,9,4,10,3,15,8,10,4
3,min_max,0.15,12,5,11,5,9,4,8,4
3,min_max,0.16,10,4,7,4,19,2,7,4
3,min_max,0.17,12,2,9,2,12,5,12,6
3,min_max,0.18,11,4,11,5,12,5,14,5
